City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Tibati,CM,66.65,overcast clouds,6.4667,12.6333,Tibati Hotel
370,Dicabisagan,PH,84.97,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
373,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
374,Puerto Suarez,BO,69.51,overcast clouds,-18.95,-57.8,Hotel casa real
376,Savelugu,GH,77.67,few clouds,9.6244,-0.8253,Yoo Naa's Palace
379,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
380,Badarganj,BD,77.54,scattered clouds,25.674,89.0549,Raushon
381,Kuruman,ZA,74.89,overcast clouds,-27.4524,23.4325,Cornerstone Guest House
382,Rafaela,AR,68.99,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
383,Sao Jose Da Coroa Grande,BR,77.09,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
384,Ambilobe,MG,86.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
390,Nelson Bay,AU,76.75,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
393,Paracuru,BR,81.1,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
396,Katherine,AU,91.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
399,Calabozo,VE,76.5,overcast clouds,8.9242,-67.4293,Hotel Giardini
400,Kupang,ID,90.18,thunderstorm,-10.1667,123.5833,Hotel On The Rock by Prasanthi
405,Todos Santos,MX,79.02,broken clouds,23.45,-110.2167,Hotel California Todos Santos
409,Guanica,PR,77.92,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
410,Hasaki,JP,72.28,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
414,Labuhan,ID,88.43,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
415,Indramayu,ID,86.5,heavy intensity rain,-6.3264,108.32,Grand Trisula Hotel
417,Ponta Do Sol,PT,66.83,few clouds,32.6667,-17.1,Hotel do Campo
418,Bundaberg,AU,80.89,overcast clouds,-24.85,152.35,Takalvan Motel
419,Gigmoto,PH,82.81,overcast clouds,13.7796,124.39,Cj's Travellers Inn
421,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
422,Ayorou,NE,79.5,broken clouds,14.7308,0.9174,Hotel Amenokal
423,Chokwe,MZ,78.84,broken clouds,-24.5333,32.9833,Complexo Sonho Real
424,Biltine,TD,75.65,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
428,Santa Luzia,BR,68.34,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
429,Port-Gentil,GA,78.6,light rain,-0.7193,8.7815,Fengshui Residence
431,Sosua,DO,78.78,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
432,Sinnamary,GF,78.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
434,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
436,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
437,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
442,Mecca,SA,81.14,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
445,Byron Bay,AU,78.91,moderate rain,-28.65,153.6167,Backpackers Inn on the Beach
446,Yeppoon,AU,87.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
448,Karratha,AU,78.17,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
450,Lagoa,PT,68.2,scattered clouds,39.05,-27.9833,Casa Das Faias
451,Menongue,AO,66.0,overcast clouds,-14.6585,17.691,Ritz Lauca
452,Camaguey,CU,70.14,few clouds,21.3808,-77.9169,Tararaco
453,Santiago Tuxtla,MX,67.21,broken clouds,18.4667,-95.3,Hotel Santiago Plaza
456,Vega De Alatorre,MX,73.96,overcast clouds,20.0333,-96.6333,El Polo Norte
457,Namibe,AO,67.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
461,Tulum,MX,75.92,clear sky,20.2167,-87.4667,Kin Ha Tulum
464,Mlonggo,ID,87.69,moderate rain,-6.5333,110.7,Asia Metal Art
469,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
470,Kailaras,IN,79.81,overcast clouds,26.3167,77.6167,बिश्राम घाट कैलारस
475,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
